Variable;Region;Energy carrier;Unit;Year;value
Final Energy Demand;"NAM";electricity;PJ/yr;2019;1,62691985426000e+04
Final Energy Demand;"NAM";electricity;PJ/yr;2020;1,58536802174000e+04
Final Energy Demand;"NAM";electricity;PJ/yr;2021;1,67266319315000e+04
Final Energy Demand;"NAM";electricity;PJ/yr;2022;1,72011616753000e+04
Final Energy Demand;"NAM";electricity;PJ/yr;2023;1,73852531276000e+04
Final Energy Demand;"NAM";electricity;PJ/yr;2024;1,75493062492000e+04
Final Energy Demand;"NAM";electricity;PJ/yr;2025;1,77330009868000e+04
Final Energy Demand;"NAM";electricity;PJ/yr;2026;1,79316286932000e+04
Final Energy Demand;"NAM";electricity;PJ/yr;2027;1,81386240487000e+04
Final Energy Demand;"NAM";electricity;PJ/yr;2028;1,83480936101000e+04
Final Energy Demand;"NAM";electricity;PJ/yr;2029;1,85621887640000e+04
Final Energy Demand;"NAM";electricity;PJ/yr;2030;1,87779440031000e+04
Final Energy Demand;"NAM";electricity;PJ/yr;2031;1,89974722743000e+04
Final Energy Demand;"NAM";electricity;PJ/yr;2032;1,92213020150000e+04
Final Energy Demand;"NAM";electricity;PJ/yr;2033;1,94578500670000e+04
Final Energy Demand;"NAM";electricity;PJ/yr;2034;1,96913242218000e+04
Final Energy Demand;"NAM";electricity;PJ/yr;2035;1,99165173438000e+04
Final Energy Demand;"NAM";electricity;PJ/yr;2036;2,01344641592000e+04
Final Energy Demand;"NAM";electricity;PJ/yr;2037;2,03486395387000e+04
Final Energy Demand;"NAM";electricity;PJ/yr;2038;2,05593207150000e+04
Final Energy Demand;"NAM";electricity;PJ/yr;2039;2,07663525255000e+04
Final Energy Demand;"NAM";electricity;PJ/yr;2040;2,09703036941000e+04
Final Energy Demand;"NAM";electricity;PJ/yr;2041;2,11687289815000e+04
Final Energy Demand;"NAM";electricity;PJ/yr;2042;2,13633819071000e+04
Final Energy Demand;"NAM";electricity;PJ/yr;2043;2,15547969839000e+04
Final Energy Demand;"NAM";electricity;PJ/yr;2044;2,17447025139000e+04
Final Energy Demand;"NAM";electricity;PJ/yr;2045;2,19234590796000e+04
Final Energy Demand;"NAM";electricity;PJ/yr;2046;2,20898788674000e+04
Final Energy Demand;"NAM";electricity;PJ/yr;2047;2,22424741377000e+04
Final Energy Demand;"NAM";electricity;PJ/yr;2048;2,23826176775000e+04
Final Energy Demand;"NAM";electricity;PJ/yr;2049;2,25125369525000e+04
Final Energy Demand;"NAM";electricity;PJ/yr;2050;2,26237506228000e+04
Final Energy Demand;LAM;electricity;PJ/yr;2019;4,75849283733000e+03
Final Energy Demand;LAM;electricity;PJ/yr;2020;4,34977473795000e+03
Final Energy Demand;LAM;electricity;PJ/yr;2021;4,47253502355000e+03
Final Energy Demand;LAM;electricity;PJ/yr;2022;4,61958985975000e+03
Final Energy Demand;LAM;electricity;PJ/yr;2023;4,71529588053000e+03
Final Energy Demand;LAM;electricity;PJ/yr;2024;4,80357090681000e+03
Final Energy Demand;LAM;electricity;PJ/yr;2025;4,88069774100000e+03
Final Energy Demand;LAM;electricity;PJ/yr;2026;4,96003045191000e+03
Final Energy Demand;LAM;electricity;PJ/yr;2027;5,05173471079000e+03
Final Energy Demand;LAM;electricity;PJ/yr;2028;5,15981194988000e+03
Final Energy Demand;LAM;electricity;PJ/yr;2029;5,28780648383000e+03
Final Energy Demand;LAM;electricity;PJ/yr;2030;5,43430192364000e+03
Final Energy Demand;LAM;electricity;PJ/yr;2031;5,60243233883000e+03
Final Energy Demand;LAM;electricity;PJ/yr;2032;5,79458924785000e+03
Final Energy Demand;LAM;electricity;PJ/yr;2033;6,01134862898000e+03
Final Energy Demand;LAM;electricity;PJ/yr;2034;6,25303786044000e+03
Final Energy Demand;LAM;electricity;PJ/yr;2035;6,51999495853000e+03
Final Energy Demand;LAM;electricity;PJ/yr;2036;6,81133353646000e+03
Final Energy Demand;LAM;electricity;PJ/yr;2037;7,12570773148000e+03
Final Energy Demand;LAM;electricity;PJ/yr;2038;7,46147399616000e+03
Final Energy Demand;LAM;electricity;PJ/yr;2039;7,81538667727000e+03
Final Energy Demand;LAM;electricity;PJ/yr;2040;8,18826110820000e+03
Final Energy Demand;LAM;electricity;PJ/yr;2041;8,57949046277000e+03
Final Energy Demand;LAM;electricity;PJ/yr;2042;8,98835239611000e+03
Final Energy Demand;LAM;electricity;PJ/yr;2043;9,41421983198000e+03
Final Energy Demand;LAM;electricity;PJ/yr;2044;9,85173331848000e+03
Final Energy Demand;LAM;electricity;PJ/yr;2045;1,02961490603000e+04
Final Energy Demand;LAM;electricity;PJ/yr;2046;1,07543920597000e+04
Final Energy Demand;LAM;electricity;PJ/yr;2047;1,12248307761000e+04
Final Energy Demand;LAM;electricity;PJ/yr;2048;1,17024838831000e+04
Final Energy Demand;LAM;electricity;PJ/yr;2049;1,21838290665000e+04
Final Energy Demand;LAM;electricity;PJ/yr;2050;1,26666547961000e+04
Final Energy Demand;EUR;electricity;PJ/yr;2019;1,09379388595330e+04
Final Energy Demand;EUR;electricity;PJ/yr;2020;1,04437092587930e+04
Final Energy Demand;EUR;electricity;PJ/yr;2021;1,08815626951460e+04
Final Energy Demand;EUR;electricity;PJ/yr;2022;1,12316231606790e+04
Final Energy Demand;EUR;electricity;PJ/yr;2023;1,14137544244500e+04
Final Energy Demand;EUR;electricity;PJ/yr;2024;1,15651992055620e+04
Final Energy Demand;EUR;electricity;PJ/yr;2025;1,17079127425640e+04
Final Energy Demand;EUR;electricity;PJ/yr;2026;1,18685071177590e+04
Final Energy Demand;EUR;electricity;PJ/yr;2027;1,20580153890750e+04
Final Energy Demand;EUR;electricity;PJ/yr;2028;1,22716655285250e+04
Final Energy Demand;EUR;electricity;PJ/yr;2029;1,24952815237250e+04
Final Energy Demand;EUR;electricity;PJ/yr;2030;1,27210822054460e+04
Final Energy Demand;EUR;electricity;PJ/yr;2031;1,29520661874810e+04
Final Energy Demand;EUR;electricity;PJ/yr;2032;1,31820184709530e+04
Final Energy Demand;EUR;electricity;PJ/yr;2033;1,34045784190130e+04
Final Energy Demand;EUR;electricity;PJ/yr;2034;1,36127264927790e+04
Final Energy Demand;EUR;electricity;PJ/yr;2035;1,37999815586310e+04
Final Energy Demand;EUR;electricity;PJ/yr;2036;1,39742424430660e+04
Final Energy Demand;EUR;electricity;PJ/yr;2037;1,41382968406960e+04
Final Energy Demand;EUR;electricity;PJ/yr;2038;1,42950202698060e+04
Final Energy Demand;EUR;electricity;PJ/yr;2039;1,44421000134900e+04
Final Energy Demand;EUR;electricity;PJ/yr;2040;1,45838103969410e+04
Final Energy Demand;EUR;electricity;PJ/yr;2041;1,47132345100190e+04
Final Energy Demand;EUR;electricity;PJ/yr;2042;1,48298585854480e+04
Final Energy Demand;EUR;electricity;PJ/yr;2043;1,49344291264270e+04
Final Energy Demand;EUR;electricity;PJ/yr;2044;1,50275955235240e+04
Final Energy Demand;EUR;electricity;PJ/yr;2045;1,51084901776340e+04
Final Energy Demand;EUR;electricity;PJ/yr;2046;1,51758640971990e+04
Final Energy Demand;EUR;electricity;PJ/yr;2047;1,52319714133600e+04
Final Energy Demand;EUR;electricity;PJ/yr;2048;1,52794842094340e+04
Final Energy Demand;EUR;electricity;PJ/yr;2049;1,53186921689170e+04
Final Energy Demand;EUR;electricity;PJ/yr;2050;1,53719483230150e+04
Final Energy Demand;SSA;electricity;PJ/yr;2019;1,34211880765000e+03
Final Energy Demand;SSA;electricity;PJ/yr;2020;1,29663837749000e+03
Final Energy Demand;SSA;electricity;PJ/yr;2021;1,32501208431000e+03
Final Energy Demand;SSA;electricity;PJ/yr;2022;1,37808532212000e+03
Final Energy Demand;SSA;electricity;PJ/yr;2023;1,43923034137000e+03
Final Energy Demand;SSA;electricity;PJ/yr;2024;1,50534405660000e+03
Final Energy Demand;SSA;electricity;PJ/yr;2025;1,57685306732000e+03
Final Energy Demand;SSA;electricity;PJ/yr;2026;1,65135749612000e+03
Final Energy Demand;SSA;electricity;PJ/yr;2027;1,73063797073000e+03
Final Energy Demand;SSA;electricity;PJ/yr;2028;1,81381795442000e+03
Final Energy Demand;SSA;electricity;PJ/yr;2029;1,90034848092000e+03
Final Energy Demand;SSA;electricity;PJ/yr;2030;1,98959915563000e+03
Final Energy Demand;SSA;electricity;PJ/yr;2031;2,08310114128000e+03
Final Energy Demand;SSA;electricity;PJ/yr;2032;2,18247979736000e+03
Final Energy Demand;SSA;electricity;PJ/yr;2033;2,28883943180000e+03
Final Energy Demand;SSA;electricity;PJ/yr;2034;2,40478195119000e+03
Final Energy Demand;SSA;electricity;PJ/yr;2035;2,53116092643000e+03
Final Energy Demand;SSA;electricity;PJ/yr;2036;2,67056641332000e+03
Final Energy Demand;SSA;electricity;PJ/yr;2037;2,82657847663000e+03
Final Energy Demand;SSA;electricity;PJ/yr;2038;3,00194697934000e+03
Final Energy Demand;SSA;electricity;PJ/yr;2039;3,19877931039000e+03
Final Energy Demand;SSA;electricity;PJ/yr;2040;3,41641126888000e+03
Final Energy Demand;SSA;electricity;PJ/yr;2041;3,65396174545000e+03
Final Energy Demand;SSA;electricity;PJ/yr;2042;3,91291507995000e+03
Final Energy Demand;SSA;electricity;PJ/yr;2043;4,19574976012000e+03
Final Energy Demand;SSA;electricity;PJ/yr;2044;4,50582335503000e+03
Final Energy Demand;SSA;electricity;PJ/yr;2045;4,84183821688000e+03
Final Energy Demand;SSA;electricity;PJ/yr;2046;5,20620849698000e+03
Final Energy Demand;SSA;electricity;PJ/yr;2047;5,60031204983000e+03
Final Energy Demand;SSA;electricity;PJ/yr;2048;6,02570796644000e+03
Final Energy Demand;SSA;electricity;PJ/yr;2049;6,48678383715000e+03
Final Energy Demand;SSA;electricity;PJ/yr;2050;6,98223729914000e+03
Final Energy Demand;MEA;electricity;PJ/yr;2019;5,66519953856000e+03
Final Energy Demand;MEA;electricity;PJ/yr;2020;5,45231113351000e+03
Final Energy Demand;MEA;electricity;PJ/yr;2021;5,58459343646000e+03
Final Energy Demand;MEA;electricity;PJ/yr;2022;5,70160296418000e+03
Final Energy Demand;MEA;electricity;PJ/yr;2023;5,81120450267000e+03
Final Energy Demand;MEA;electricity;PJ/yr;2024;5,93755740962000e+03
Final Energy Demand;MEA;electricity;PJ/yr;2025;6,06951129174000e+03
Final Energy Demand;MEA;electricity;PJ/yr;2026;6,20977522559000e+03
Final Energy Demand;MEA;electricity;PJ/yr;2027;6,36366853328000e+03
Final Energy Demand;MEA;electricity;PJ/yr;2028;6,53458987423000e+03
Final Energy Demand;MEA;electricity;PJ/yr;2029;6,72512420976000e+03
Final Energy Demand;MEA;electricity;PJ/yr;2030;6,93586619019000e+03
Final Energy Demand;MEA;electricity;PJ/yr;2031;7,17206980954000e+03
Final Energy Demand;MEA;electricity;PJ/yr;2032;7,43767858223000e+03
Final Energy Demand;MEA;electricity;PJ/yr;2033;7,73371872497000e+03
Final Energy Demand;MEA;electricity;PJ/yr;2034;8,05851963939000e+03
Final Energy Demand;MEA;electricity;PJ/yr;2035;8,41141190180000e+03
Final Energy Demand;MEA;electricity;PJ/yr;2036;8,79231312674000e+03
Final Energy Demand;MEA;electricity;PJ/yr;2037;9,19643853973000e+03
Final Energy Demand;MEA;electricity;PJ/yr;2038;9,61715825337000e+03
Final Energy Demand;MEA;electricity;PJ/yr;2039;1,00530490134000e+04
Final Energy Demand;MEA;electricity;PJ/yr;2040;1,05018957459000e+04
Final Energy Demand;MEA;electricity;PJ/yr;2041;1,09609724416000e+04
Final Energy Demand;MEA;electricity;PJ/yr;2042;1,14280426730000e+04
Final Energy Demand;MEA;electricity;PJ/yr;2043;1,19003246793000e+04
Final Energy Demand;MEA;electricity;PJ/yr;2044;1,23758709232000e+04
Final Energy Demand;MEA;electricity;PJ/yr;2045;1,28542044719000e+04
Final Energy Demand;MEA;electricity;PJ/yr;2046;1,33400910891000e+04
Final Energy Demand;MEA;electricity;PJ/yr;2047;1,38342358518000e+04
Final Energy Demand;MEA;electricity;PJ/yr;2048;1,43390839081000e+04
Final Energy Demand;MEA;electricity;PJ/yr;2049;1,48520125953000e+04
Final Energy Demand;MEA;electricity;PJ/yr;2050;1,53715119046000e+04
Final Energy Demand;NEE;electricity;PJ/yr;2019;4,68890894487000e+03
Final Energy Demand;NEE;electricity;PJ/yr;2020;4,56331781519000e+03
Final Energy Demand;NEE;electricity;PJ/yr;2021;4,66148952272000e+03
Final Energy Demand;NEE;electricity;PJ/yr;2022;4,76654773024000e+03
Final Energy Demand;NEE;electricity;PJ/yr;2023;4,84751926074000e+03
Final Energy Demand;NEE;electricity;PJ/yr;2024;4,91950519081000e+03
Final Energy Demand;NEE;electricity;PJ/yr;2025;4,99398744794000e+03
Final Energy Demand;NEE;electricity;PJ/yr;2026;5,07180713579000e+03
Final Energy Demand;NEE;electricity;PJ/yr;2027;5,14962656350000e+03
Final Energy Demand;NEE;electricity;PJ/yr;2028;5,22911083896000e+03
Final Energy Demand;NEE;electricity;PJ/yr;2029;5,31140206551000e+03
Final Energy Demand;NEE;electricity;PJ/yr;2030;5,38027704405000e+03
Final Energy Demand;NEE;electricity;PJ/yr;2031;5,44854906327000e+03
Final Energy Demand;NEE;electricity;PJ/yr;2032;5,52723492800000e+03
Final Energy Demand;NEE;electricity;PJ/yr;2033;5,60545515090000e+03
Final Energy Demand;NEE;electricity;PJ/yr;2034;5,68361709619000e+03
Final Energy Demand;NEE;electricity;PJ/yr;2035;5,76016125952000e+03
Final Energy Demand;NEE;electricity;PJ/yr;2036;5,83610876702000e+03
Final Energy Demand;NEE;electricity;PJ/yr;2037;5,91288498082000e+03
Final Energy Demand;NEE;electricity;PJ/yr;2038;5,99022729051000e+03
Final Energy Demand;NEE;electricity;PJ/yr;2039;6,06821199259000e+03
Final Energy Demand;NEE;electricity;PJ/yr;2040;6,14531173867000e+03
Final Energy Demand;NEE;electricity;PJ/yr;2041;6,21993590041000e+03
Final Energy Demand;NEE;electricity;PJ/yr;2042;6,30276777058000e+03
Final Energy Demand;NEE;electricity;PJ/yr;2043;6,38727188303000e+03
Final Energy Demand;NEE;electricity;PJ/yr;2044;6,47305116398000e+03
Final Energy Demand;NEE;electricity;PJ/yr;2045;6,55943214329000e+03
Final Energy Demand;NEE;electricity;PJ/yr;2046;6,64820040680000e+03
Final Energy Demand;NEE;electricity;PJ/yr;2047;6,73962770795000e+03
Final Energy Demand;NEE;electricity;PJ/yr;2048;6,83282689864000e+03
Final Energy Demand;NEE;electricity;PJ/yr;2049;6,92787683031000e+03
Final Energy Demand;NEE;electricity;PJ/yr;2050;7,04796458284000e+03
Final Energy Demand;CHN;electricity;PJ/yr;2019;2,31367805105000e+04
Final Energy Demand;CHN;electricity;PJ/yr;2020;2,36293567056000e+04
Final Energy Demand;CHN;electricity;PJ/yr;2021;2,52977230891000e+04
Final Energy Demand;CHN;electricity;PJ/yr;2022;2,65669645250000e+04
Final Energy Demand;CHN;electricity;PJ/yr;2023;2,78511932250000e+04
Final Energy Demand;CHN;electricity;PJ/yr;2024;2,92303701122000e+04
Final Energy Demand;CHN;electricity;PJ/yr;2025;3,07017920601000e+04
Final Energy Demand;CHN;electricity;PJ/yr;2026;3,22460899271000e+04
Final Energy Demand;CHN;electricity;PJ/yr;2027;3,38135943346000e+04
Final Energy Demand;CHN;electricity;PJ/yr;2028;3,53700444344000e+04
Final Energy Demand;CHN;electricity;PJ/yr;2029;3,68705501043000e+04
Final Energy Demand;CHN;electricity;PJ/yr;2030;3,82712704565000e+04
Final Energy Demand;CHN;electricity;PJ/yr;2031;3,95537009165000e+04
Final Energy Demand;CHN;electricity;PJ/yr;2032;4,06933526158000e+04
Final Energy Demand;CHN;electricity;PJ/yr;2033;4,16729874370000e+04
Final Energy Demand;CHN;electricity;PJ/yr;2034;4,24998824683000e+04
Final Energy Demand;CHN;electricity;PJ/yr;2035;4,31704473437000e+04
Final Energy Demand;CHN;electricity;PJ/yr;2036;4,37142375109000e+04
Final Energy Demand;CHN;electricity;PJ/yr;2037;4,41804387210000e+04
Final Energy Demand;CHN;electricity;PJ/yr;2038;4,45885593529000e+04
Final Energy Demand;CHN;electricity;PJ/yr;2039;4,49566598337000e+04
Final Energy Demand;CHN;electricity;PJ/yr;2040;4,52966443203000e+04
Final Energy Demand;CHN;electricity;PJ/yr;2041;4,56044102844000e+04
Final Energy Demand;CHN;electricity;PJ/yr;2042;4,58875029392000e+04
Final Energy Demand;CHN;electricity;PJ/yr;2043;4,61511804308000e+04
Final Energy Demand;CHN;electricity;PJ/yr;2044;4,63934019802000e+04
Final Energy Demand;CHN;electricity;PJ/yr;2045;4,66110638367000e+04
Final Energy Demand;CHN;electricity;PJ/yr;2046;4,68053145647000e+04
Final Energy Demand;CHN;electricity;PJ/yr;2047;4,69702124064000e+04
Final Energy Demand;CHN;electricity;PJ/yr;2048;4,71106219331000e+04
Final Energy Demand;CHN;electricity;PJ/yr;2049;4,72443015319000e+04
Final Energy Demand;CHN;electricity;PJ/yr;2050;4,73833051983000e+04
Final Energy Demand;IND;electricity;PJ/yr;2019;5,48437168834000e+03
Final Energy Demand;IND;electricity;PJ/yr;2020;5,34826525537000e+03
Final Energy Demand;IND;electricity;PJ/yr;2021;5,85914468941000e+03
Final Energy Demand;IND;electricity;PJ/yr;2022;6,23112801838000e+03
Final Energy Demand;IND;electricity;PJ/yr;2023;6,64050287125000e+03
Final Energy Demand;IND;electricity;PJ/yr;2024;7,09525808589000e+03
Final Energy Demand;IND;electricity;PJ/yr;2025;7,58605139127000e+03
Final Energy Demand;IND;electricity;PJ/yr;2026;8,11133984885000e+03
Final Energy Demand;IND;electricity;PJ/yr;2027;8,66144569287000e+03
Final Energy Demand;IND;electricity;PJ/yr;2028;9,23321332796000e+03
Final Energy Demand;IND;electricity;PJ/yr;2029;9,82455712364000e+03
Final Energy Demand;IND;electricity;PJ/yr;2030;1,04312137613000e+04
Final Energy Demand;IND;electricity;PJ/yr;2031;1,10500372638000e+04
Final Energy Demand;IND;electricity;PJ/yr;2032;1,16805226869000e+04
Final Energy Demand;IND;electricity;PJ/yr;2033;1,23155448317000e+04
Final Energy Demand;IND;electricity;PJ/yr;2034;1,29564046313000e+04
Final Energy Demand;IND;electricity;PJ/yr;2035;1,36045025676000e+04
Final Energy Demand;IND;electricity;PJ/yr;2036;1,42642094294000e+04
Final Energy Demand;IND;electricity;PJ/yr;2037;1,49430844583000e+04
Final Energy Demand;IND;electricity;PJ/yr;2038;1,56451490316000e+04
Final Energy Demand;IND;electricity;PJ/yr;2039;1,63687195651000e+04
Final Energy Demand;IND;electricity;PJ/yr;2040;1,71177105382000e+04
Final Energy Demand;IND;electricity;PJ/yr;2041;1,78932972391000e+04
Final Energy Demand;IND;electricity;PJ/yr;2042;1,87039801857000e+04
Final Energy Demand;IND;electricity;PJ/yr;2043;1,95454991764000e+04
Final Energy Demand;IND;electricity;PJ/yr;2044;2,04244936926000e+04
Final Energy Demand;IND;electricity;PJ/yr;2045;2,13309754728000e+04
Final Energy Demand;IND;electricity;PJ/yr;2046;2,22722838732000e+04
Final Energy Demand;IND;electricity;PJ/yr;2047;2,32461385067000e+04
Final Energy Demand;IND;electricity;PJ/yr;2048;2,42523647130000e+04
Final Energy Demand;IND;electricity;PJ/yr;2049;2,52907975226000e+04
Final Energy Demand;IND;electricity;PJ/yr;2050;2,63542171050000e+04
Final Energy Demand;SEA;electricity;PJ/yr;2019;3,69362076063000e+03
Final Energy Demand;SEA;electricity;PJ/yr;2020;3,61169459361000e+03
Final Energy Demand;SEA;electricity;PJ/yr;2021;3,78429139880000e+03
Final Energy Demand;SEA;electricity;PJ/yr;2022;3,99252343252000e+03
Final Energy Demand;SEA;electricity;PJ/yr;2023;4,21082560983000e+03
Final Energy Demand;SEA;electricity;PJ/yr;2024;4,44025152764000e+03
Final Energy Demand;SEA;electricity;PJ/yr;2025;4,68926960827000e+03
Final Energy Demand;SEA;electricity;PJ/yr;2026;4,96339794568000e+03
Final Energy Demand;SEA;electricity;PJ/yr;2027;5,25639555735000e+03
Final Energy Demand;SEA;electricity;PJ/yr;2028;5,56896029763000e+03
Final Energy Demand;SEA;electricity;PJ/yr;2029;5,89426166843000e+03
Final Energy Demand;SEA;electricity;PJ/yr;2030;6,22820759392000e+03
Final Energy Demand;SEA;electricity;PJ/yr;2031;6,56874711696000e+03
Final Energy Demand;SEA;electricity;PJ/yr;2032;6,91758070383000e+03
Final Energy Demand;SEA;electricity;PJ/yr;2033;7,27433044489000e+03
Final Energy Demand;SEA;electricity;PJ/yr;2034;7,64001229311000e+03
Final Energy Demand;SEA;electricity;PJ/yr;2035;8,01357243977000e+03
Final Energy Demand;SEA;electricity;PJ/yr;2036;8,39540741888000e+03
Final Energy Demand;SEA;electricity;PJ/yr;2037;8,78543564535000e+03
Final Energy Demand;SEA;electricity;PJ/yr;2038;9,18562850485000e+03
Final Energy Demand;SEA;electricity;PJ/yr;2039;9,59609722889000e+03
Final Energy Demand;SEA;electricity;PJ/yr;2040;1,00184807724000e+04
Final Energy Demand;SEA;electricity;PJ/yr;2041;1,04521572740000e+04
Final Energy Demand;SEA;electricity;PJ/yr;2042;1,08957265527000e+04
Final Energy Demand;SEA;electricity;PJ/yr;2043;1,13464615009000e+04
Final Energy Demand;SEA;electricity;PJ/yr;2044;1,18034920028000e+04
Final Energy Demand;SEA;electricity;PJ/yr;2045;1,22634178866000e+04
Final Energy Demand;SEA;electricity;PJ/yr;2046;1,27254679151000e+04
Final Energy Demand;SEA;electricity;PJ/yr;2047;1,31889651861000e+04
Final Energy Demand;SEA;electricity;PJ/yr;2048;1,36509211197000e+04
Final Energy Demand;SEA;electricity;PJ/yr;2049;1,41105678494000e+04
Final Energy Demand;SEA;electricity;PJ/yr;2050;1,45799610536000e+04
Final Energy Demand;OPA;electricity;PJ/yr;2019;6,08100579604000e+03
Final Energy Demand;OPA;electricity;PJ/yr;2020;5,89754947907000e+03
Final Energy Demand;OPA;electricity;PJ/yr;2021;6,13960244200000e+03
Final Energy Demand;OPA;electricity;PJ/yr;2022;6,31261743710000e+03
Final Energy Demand;OPA;electricity;PJ/yr;2023;6,40967413990000e+03
Final Energy Demand;OPA;electricity;PJ/yr;2024;6,48276875492000e+03
Final Energy Demand;OPA;electricity;PJ/yr;2025;6,55481568818000e+03
Final Energy Demand;OPA;electricity;PJ/yr;2026;6,63120351868000e+03
Final Energy Demand;OPA;electricity;PJ/yr;2027;6,71378253114000e+03
Final Energy Demand;OPA;electricity;PJ/yr;2028;6,80230277157000e+03
Final Energy Demand;OPA;electricity;PJ/yr;2029;6,89573916192000e+03
Final Energy Demand;OPA;electricity;PJ/yr;2030;6,99445624783000e+03
Final Energy Demand;OPA;electricity;PJ/yr;2031;7,09749804473000e+03
Final Energy Demand;OPA;electricity;PJ/yr;2032;7,20199077510000e+03
Final Energy Demand;OPA;electricity;PJ/yr;2033;7,30433862315000e+03
Final Energy Demand;OPA;electricity;PJ/yr;2034;7,40400160742000e+03
Final Energy Demand;OPA;electricity;PJ/yr;2035;7,50009058662000e+03
Final Energy Demand;OPA;electricity;PJ/yr;2036;7,58908278455000e+03
Final Energy Demand;OPA;electricity;PJ/yr;2037;7,67054183434000e+03
Final Energy Demand;OPA;electricity;PJ/yr;2038;7,74215803507000e+03
Final Energy Demand;OPA;electricity;PJ/yr;2039;7,80386162849000e+03
Final Energy Demand;OPA;electricity;PJ/yr;2040;7,85842838134000e+03
Final Energy Demand;OPA;electricity;PJ/yr;2041;7,90186360117000e+03
Final Energy Demand;OPA;electricity;PJ/yr;2042;7,93330624370000e+03
Final Energy Demand;OPA;electricity;PJ/yr;2043;7,95338499399000e+03
Final Energy Demand;OPA;electricity;PJ/yr;2044;7,96408955698000e+03
Final Energy Demand;OPA;electricity;PJ/yr;2045;7,96570873141000e+03
Final Energy Demand;OPA;electricity;PJ/yr;2046;7,95948083746000e+03
Final Energy Demand;OPA;electricity;PJ/yr;2047;7,94619218923000e+03
Final Energy Demand;OPA;electricity;PJ/yr;2048;7,92542650691000e+03
Final Energy Demand;OPA;electricity;PJ/yr;2049;7,89772161808000e+03
Final Energy Demand;OPA;electricity;PJ/yr;2050;7,87739990856000e+03
Final Energy Demand;"NAM";oil;PJ/yr;2019;3,71137580603000e+04
Final Energy Demand;"NAM";oil;PJ/yr;2020;3,17584111110000e+04
Final Energy Demand;"NAM";oil;PJ/yr;2021;3,58423577379000e+04
Final Energy Demand;"NAM";oil;PJ/yr;2022;3,56839393459000e+04
Final Energy Demand;"NAM";oil;PJ/yr;2023;3,52341254315000e+04
Final Energy Demand;"NAM";oil;PJ/yr;2024;3,47608742318000e+04
Final Energy Demand;"NAM";oil;PJ/yr;2025;3,40529544316000e+04
Final Energy Demand;"NAM";oil;PJ/yr;2026;3,32071678302000e+04
Final Energy Demand;"NAM";oil;PJ/yr;2027;3,23122970432000e+04
Final Energy Demand;"NAM";oil;PJ/yr;2028;3,13534994128000e+04
Final Energy Demand;"NAM";oil;PJ/yr;2029;3,03557120962000e+04
Final Energy Demand;"NAM";oil;PJ/yr;2030;2,93592804680000e+04
Final Energy Demand;"NAM";oil;PJ/yr;2031;2,83187879508000e+04
Final Energy Demand;"NAM";oil;PJ/yr;2032;2,72353622037000e+04
Final Energy Demand;"NAM";oil;PJ/yr;2033;2,61331201729000e+04
Final Energy Demand;"NAM";oil;PJ/yr;2034;2,50165287794000e+04
Final Energy Demand;"NAM";oil;PJ/yr;2035;2,38795255338000e+04
Final Energy Demand;"NAM";oil;PJ/yr;2036;2,27491560585000e+04
Final Energy Demand;"NAM";oil;PJ/yr;2037;2,16264038483000e+04
Final Energy Demand;"NAM";oil;PJ/yr;2038;2,05055225838000e+04
Final Energy Demand;"NAM";oil;PJ/yr;2039;1,93929061334000e+04
Final Energy Demand;"NAM";oil;PJ/yr;2040;1,82917907241000e+04
Final Energy Demand;"NAM";oil;PJ/yr;2041;1,72095949768000e+04
Final Energy Demand;"NAM";oil;PJ/yr;2042;1,61453783803000e+04
Final Energy Demand;"NAM";oil;PJ/yr;2043;1,50928882697000e+04
Final Energy Demand;"NAM";oil;PJ/yr;2044;1,40619598574000e+04
Final Energy Demand;"NAM";oil;PJ/yr;2045;1,30596671694000e+04
Final Energy Demand;"NAM";oil;PJ/yr;2046;1,20987687167000e+04
Final Energy Demand;"NAM";oil;PJ/yr;2047;1,11737993091000e+04
Final Energy Demand;"NAM";oil;PJ/yr;2048;1,03077517530000e+04
Final Energy Demand;"NAM";oil;PJ/yr;2049;9,51400925378000e+03
Final Energy Demand;"NAM";oil;PJ/yr;2050;8,85466379701000e+03
Final Energy Demand;LAM;oil;PJ/yr;2019;1,25083984967000e+04
Final Energy Demand;LAM;oil;PJ/yr;2020;1,10873001904000e+04
Final Energy Demand;LAM;oil;PJ/yr;2021;1,17875626595000e+04
Final Energy Demand;LAM;oil;PJ/yr;2022;1,17146407207000e+04
Final Energy Demand;LAM;oil;PJ/yr;2023;1,16007066640000e+04
Final Energy Demand;LAM;oil;PJ/yr;2024;1,16355936866000e+04
Final Energy Demand;LAM;oil;PJ/yr;2025;1,16835564816000e+04
Final Energy Demand;LAM;oil;PJ/yr;2026;1,17028506931000e+04
Final Energy Demand;LAM;oil;PJ/yr;2027;1,17294785381000e+04
Final Energy Demand;LAM;oil;PJ/yr;2028;1,17686877049000e+04
Final Energy Demand;LAM;oil;PJ/yr;2029;1,18215069271000e+04
Final Energy Demand;LAM;oil;PJ/yr;2030;1,18989640366000e+04
Final Energy Demand;LAM;oil;PJ/yr;2031;1,19837559423000e+04
Final Energy Demand;LAM;oil;PJ/yr;2032;1,20725798547000e+04
Final Energy Demand;LAM;oil;PJ/yr;2033;1,21684535453000e+04
Final Energy Demand;LAM;oil;PJ/yr;2034;1,22626981205000e+04
